Rank,Player,Rank Score,Level,Kills,Season 17 Wins,Winning Kills,Kills As Kill Leader,Damage,Headshots,Matches Played,Times Top 3
47,Niightmareyp,103877,845,,,,,,,,
48,WC_Shooby,103057,1075,,,,,,,,
49,JamesFearless,102578,1392,90496.0,,,,25004399.0,116531.0,,
50,Ergochair,102510,1749,44578.0,28.0,,,12098523.0,48491.0,,
51,Mango424242,102006,946,,,,,,,,
52,SonOfThanatosTV,101882,2137,,169.0,,,,,,
53,OsivienTv,101757,1060,,,261.0,2734.0,,,,
54,AthenasMerciTV,101643,1491,82426.0,,,,21665110.0,55881.0,,
55,PlutoReality,101637,1475,,,,,,33090.0,,
56,Fiona,101555,2100,49274.0,,,2416.0,12210361.0,42684.0,,
57,Dub_Lyfe,101475,4212,103361.0,,,3082.0,29027448.0,115223.0,12793.0,
58,Ca9s,100975,2378,,,,,,,,
59,Misfit-Trey,100969,1071,,83.0,,,,32953.0,,
60,JoshInaTonka,100449,460,,8.0,,,,,,
61,Xandemik,100173,993,,,,,,,,
62,uzii,100115,1398,,,,,,,,
63,AMG_Godspeed,99957,1209,,,,,,,,
64,ARODR1_TTG,98519,4505,120858.0,,,7663.0,26188446.0,173415.0,,
65,TSMDaequan6462,98277,1156,,,,,,,,
66,OpTic Dropped,97900,4221,95772.0,,,,23322008.0,33166.0,,
67,Orbztron,97789,3176,62815.0,,,5415.0,9769647.0,53279.0,,1996.0
68,UhBismol,97332,4513,137583.0,,1179.0,21996.0,29084891.0,74033.0,11693.0,
69,dimibob,97311,1250,,,,,,,,
70,Raintastical,96719,1009,74229.0,,,9625.0,18222142.0,68058.0,11984.0,
71,l-lSephirothl-l,95989,1252,54656.0,50.0,,,11383704.0,67052.0,,
72,kapp,95829,863,,,,,,,,
73,AetosRequiem,95807,1045,,,369.0,2476.0,,,,
74,NOIETTAIGA,95488,1259,,,,,,,,
75,NateSlaysTV,95469,1574,,,,,,,,
76,PIuvy,95402,1229,,81.0,,,,,,
77,sm0kE_tv,95150,624,,,,,,,,
78,Naunnn,95121,3005,54058.0,,,,15333544.0,,,
79,Twitch Crepstf,94936,566,,,,,,,,
80,SoggieWaffl3s_FB,94870,5995,116765.0,,,12091.0,29037511.0,160241.0,,
81,Top Munch NA,94684,3249,82781.0,,,,,,,
82,Chillitai-,94380,3998,70906.0,,,,,,,
83,xNvkk_,94224,923,,,,,,,,
84,Rhadiant,93912,3004,96717.0,,,,18587533.0,72248.0,,
85,THaless,93854,1199,,,,,,,,
86,Gody,93596,1559,,,,,,,,
87,GsQ im_AVES,92261,1401,,,,,,,,
88,raultinoco20,92120,1114,,,,,10660341.0,,5033.0,
89,empartial,92077,729,,132.0,140.0,,,,,
90,BlackBuddhaaa,91820,2372,45514.0,,,1577.0,10509107.0,,,
91,qLazii,91650,967,,,,,,,,
92,SourCrescent375,91250,949,,,,,,,,
93,lardnemfromdawic,91222,1488,,34.0,,,,,,
94,Kotigami,91206,3191,100380.0,,,,28398001.0,,,
95,happihound,90918,2143,44869.0,,,,,58862.0,,1603.0
96,Chrisccold,90464,1038,,,,,,,,
97,SEN Keon,90379,1312,75002.0,,,,,88877.0,,
98,iitzVick_,90326,2849,45367.0,,,,12183896.0,,,
99,minedfull,90128,706,,,,,,,,
100,FATAL_KUSH69,89759,1205,,89.0,,,,,,
101,AMEN,89721,923,,,,,,,,
102,Twitch_ThatzEdd,89686,1200,,,,,,,,
103,Vozskii | Twitch,89422,1119,,,,,,,,
104,Convey,89070,908,,,,,,,,
105,temp-7476259,89040,1094,,,,,,,,
106,June (BaseForm),88674,1187,52390.0,,,,13292170.0,62683.0,,
107,OnlyBands,87987,1381,,47.0,,,,,,
108,AyoItsDex,87698,2850,54239.0,,,,12187926.0,,,
109,Jukez Revenge,87578,1379,,51.0,,3120.0,,,,
110,Sekolu,87347,1898,,,,,,,,
111,TSM_MNK,87188,864,49363.0,,,,,,,
112,Shinsxi,87039,2394,68315.0,119.0,,,19127929.0,86019.0,5444.0,
113,UnKnowNToXinStv,87029,895,,,,,,,,
114,Hm?,86311,1670,43070.0,,,,,,,
115,qxskli,86093,762,,,,,,,,
116,Zlo-Xl,85964,1079,,,,,,,,
117,h8x1,85929,796,,,,,,,,
118,SirPacoElTaco,85756,2750,81500.0,,,12855.0,,81844.0,,
119,TSM ImperialHal,85672,1130,125043.0,,,5209.0,34875649.0,78281.0,,
120,AshPlaysApex,85572,2214,75824.0,,1320.0,,19212506.0,101250.0,17391.0,3591.0
121,AzayChe,85303,2933,96673.0,257.0,2134.0,21185.0,24811924.0,131592.0,24494.0,1944.0
122,Danerdz,84925,1469,,,,,10744910.0,,,
123,MotowastakenTTV,84859,1174,,,,,,,,
124,East_Side624,84786,880,,,,,,,,
125,twitch nesroh,84451,1475,,,,,,,,
126,JordyPote,84446,3657,,,,,9741252.0,,6381.0,1056.0
127,chalkedoutlineTV,84352,1116,,25.0,,,,,,
128,IQuitMyDayJ0b,83937,2315,,,,,,,,
129,AyooitsJayTTV,83762,1364,,158.0,151.0,,,,,
130,ShooterLil,83703,2521,47066.0,,,,,,4400.0,
131,Luxford,83318,1400,,,,,,,,
132,Qfarms,83248,789,,17.0,,,,,,
133,Tyyuki,83243,1507,51166.0,94.0,,7296.0,,57958.0,6403.0,
134,XobunnyluluTv,83044,1478,,128.0,,,10621174.0,37040.0,,
135,Letxce,82743,3004,42146.0,,,,10869911.0,34795.0,,
136,F1ickTTV,82661,2764,,,,,9648944.0,48404.0,,
137,left4 bows,82354,1329,,,,,,,,
138,Gojira,82343,2176,41746.0,,,3197.0,,,,
139,NBN Chaotic,82021,1648,,11.0,272.0,,,60066.0,6074.0,4145.0
140,Rxger tht,81876,951,,,,,,,,
141,RevengefulYT,81672,5922,177921.0,103.0,,,42191072.0,,,
142,Rise Awons,81552,1463,44466.0,,,,13803737.0,,,
143,qRoa,81188,1285,,,,,,,,
144,PeacexXcx,81126,2294,48168.0,,,,13969783.0,33841.0,,
145,NotOmenTV,81053,1995,,,,,,,,1683.0
146,COL Codddy,80939,4401,87407.0,,,,25928549.0,,,
147,Cbreezy502,80595,1109,,,,2868.0,,,,
148,ItsMatthew6653,80308,777,,,,,,,,620.0
149,Thorxe-,80245,2050,,,,2013.0,11234656.0,48274.0,8876.0,2984.0
150,X-Bogey,80082,733,,,285.0,1853.0,,,5083.0,
151,traininsaiyan10,80004,1010,,,,,,,,
152,Risperdal,79958,4299,122711.0,,,,32918986.0,61019.0,,
153,ClutchCid,79658,1426,,40.0,,3315.0,,,,
154,Shwinyy,79510,6426,197557.0,,235.0,57459.0,47588772.0,186735.0,,
155,Life1228,79345,1391,,,,,,,,
156,ZvFrank,79263,901,,,,,,,,
157,MasterPhoenix25,79178,614,,,,,,,,
158,Droughtzy,78962,1348,,,,,,,7019.0,1206.0
159,RockoBangs,78829,1295,,,,,10624408.0,,,
160,Trophezz--,78825,1166,,117.0,,,,,,
161,twitch-xpebbies,78081,2702,68025.0,,,,13388922.0,86060.0,,
162,tqrks on tiktok,78065,1019,,76.0,,,,,,
163,CollinsProdigy,77935,4512,87498.0,,,11424.0,21081686.0,99764.0,,
164,l Mr Monday l,77379,4321,105624.0,,1991.0,12523.0,30090893.0,120037.0,27838.0,7217.0
165,SEN gyat,77231,2981,74712.0,,,,,,,
166,Arctoh,77179,934,,,,,,,,
167,Fannccy,77098,2062,41763.0,,,,,,,
168,EvaluateYourName,76911,1721,,,,,,,,1520.0
169,Rjtch,76670,1683,46744.0,,,,12697643.0,,,
170,Mamba,76570,1068,,,,,,,,
171,IHAVEALIFE_YT,76545,3165,62911.0,,,,16887185.0,,5403.0,951.0
172,Forfiddy,76458,1837,48879.0,,,7113.0,,,4570.0,
173,iiTzAroma,76156,1122,,66.0,,,,,,
174,AntiSoulcial,76136,1115,,,,,,,,
175,Bunny Boy,76126,1178,85716.0,,,,12338051.0,,8752.0,
176,wTeej,76030,1514,,,,8383.0,,32444.0,4960.0,
177,Blakksun7745,75973,1178,,,,,,,4949.0,
178,depressive,75939,997,,,,,,,,
179,Absurdists,75786,3256,64747.0,,,,19374547.0,,6027.0,2965.0
180,Nayt a qt,75761,780,,57.0,,,,,,
181,BiIIets,75643,907,,40.0,,,,,,
182,Moneyfadez_TTV,75635,2501,62388.0,,,,17453288.0,37640.0,,
183,xlilbomberx710,75603,1455,,,,,,,,
184,llADRNll,75571,904,,,,,,,,
185,imSaylor_,75548,4388,93899.0,,198.0,10180.0,20674641.0,134702.0,20881.0,2078.0
186,LIZA,75412,3617,62824.0,,,,,,,
187,uSpacy,75037,4256,94655.0,,,3720.0,23725928.0,133536.0,,
188,Wilson3d,74996,815,,88.0,,,,,,
189,Papa Splix,74802,2613,83651.0,8.0,,2147.0,,103665.0,,
190,TTV DE7DEYE,74791,920,41873.0,,,,12682843.0,,4616.0,
191,Kyruva,74545,2496,95127.0,,,38765.0,22057580.0,45854.0,,
192,AdeptSZN,74534,1189,,,,,,,,
193,TangFX,74372,2087,47865.0,,,,,48905.0,,
194,Suhfo,74288,1394,48421.0,,69.0,,13248660.0,50828.0,,
195,Waijr,74275,968,,,,,,,,
196,XxL Snoopy,74045,1493,44841.0,,,,11505999.0,55506.0,,2507.0
197,ProdigyAces &lt;3,73702,4149,103096.0,,,,29052618.0,115214.0,,
198,soviet_ab twitch,73571,2831,,,,,,,,
199,boomzai_twitch,73198,1113,,,,,10312555.0,,,
200,TyplcalSweat,73163,1446,40613.0,154.0,378.0,,11653678.0,,5999.0,874.0
201,I Stay Perky,73139,1870,,,,,,,,
202,UNRULYSHOTTA819,72816,3568,57217.0,,40.0,1873.0,16507951.0,35204.0,,
203,Suxeed,72739,1088,,66.0,,,,,,
204,WALL-E,72713,935,,,,,,,,
205,Liquid Rogue,72235,4343,76429.0,,,,28940216.0,37896.0,,
206,Lukey Sweets,72144,1316,,,,,,,,
207,daviswave,71914,2396,,,,,,,,
208,B00MHE4DSH0T41,71908,1382,,,,,,39016.0,,
209,Gihx,71564,1634,,,,,,,,
210,RQM_saken,71428,1746,46455.0,86.0,,,13032487.0,69345.0,,
211,Agent_Elite2122,71410,1038,,,,,,,,
212,COL Lewda,71371,2537,53640.0,,80.0,4124.0,16686786.0,71870.0,,
213,Its Ster,71094,1610,,,,,,,,
214,siekos,70901,1765,,,,5171.0,,,4459.0,1369.0
215,Jaded,70634,1155,,,,4427.0,,,,
216,PonyLover1997,70633,846,,45.0,,,,,,
217,CamoHaMeHa,70562,1060,,,,,,,,
218,twitch.tv/Xera,70550,1261,74365.0,,111.0,,15092690.0,,,
219,Wifeline,70450,1762,55386.0,180.0,,,9989316.0,52964.0,,
220,Six heIIs,70366,902,,,,,,,,
221,l0ck8t,70097,1284,,,,2442.0,,,,
222,IIMKRAZYY,69966,848,,,,,,,,
223,niv,69940,1090,,,,,,,,
224,Nyqwr,69937,1101,,21.0,,,,,,
225,@ByDame,69718,980,,,,,,,,
226,Dee_Austin,69662,930,,,,,,,,
227,Bonzxii,69529,1503,41703.0,,,5602.0,11395430.0,,6125.0,
228,FB PANCAKES,69402,967,45203.0,,,,12203116.0,,,
229,Ozaki,69373,1107,,,,2756.0,,,,1135.0
230,SaoPauloPred,69257,1795,,,,2518.0,,,,
231,HoneyBBQJo,69198,2754,46160.0,,,,10401063.0,43794.0,,
232,Slayr,68976,3083,70345.0,,55.0,,19033665.0,54540.0,,
233,JuiceeMane,68694,996,,,,,,,,
234,G1bby W,68652,448,,,,,,,,
235,Empery,68563,2834,,,,,20725950.0,120934.0,,
236,D3Xsterity,68491,1721,48679.0,33.0,,,12513177.0,34490.0,,
237,bossbabyyy101,68343,909,,,,,,,4447.0,
238,RG Stingy,68252,950,,,,,,,,628.0
239,Shh Daddyz Home,68226,2352,,,,,,,,1908.0
240,Remescent,68066,914,,,,,,,,
241,CIeopatraa,67987,2544,57544.0,,,,11753518.0,,,
242,FhSkyy,67972,1222,,,,,,,,
243,TheRealWubba,67954,891,,,,,,,,699.0
244,Valkyojin,67849,1758,41282.0,,,,10509459.0,,,
245,iPRODIGY 84,67729,2277,53427.0,,,4248.0,15176117.0,41101.0,,
246,ItzDawgs,67668,962,,,,,,,,
247,Mwrch,67665,909,,,,,,,,
248,notHeated,67636,989,,,,,,,,
249,ll NILLOC ll,67626,1605,42217.0,,,,13698953.0,48715.0,,
250,its relyo,67611,6135,81290.0,1.0,,,28624696.0,94127.0,,
251,iiTzBusy,67572,1073,,,,,,,,902.0
252,LAT BearBear,67569,1135,41115.0,,,1580.0,11738017.0,,,
253,JimmyBigSound1,67484,1018,,,,,,,4456.0,
254,nano,67435,1512,42635.0,,,,13487874.0,,,
255,Avaliq,67342,1444,,,,,,,,
256,TearDaGoat,66981,1765,,,,,,,,
257,ReptileKing099,66875,1617,,38.0,,,,,,
258,filthae,66809,830,,18.0,,,,,,
259,DurlTheMediocre,66506,1893,,,,,,,5598.0,1368.0
260,BlestTevez,66494,1296,,,,,,32320.0,,
261,SpaghettiFlavor1,66476,2213,47144.0,,540.0,,,39509.0,,
262,KindaGiifted,66440,3994,93988.0,,,12977.0,9415026.0,65159.0,,
263,xqo,66309,1125,,,,,,,,
264,DOINKS,66071,888,,,,,,,,
265,Shplitty,66056,1408,,52.0,,,,,,
266,@MailFTW,66006,940,,,,,,,,
267,xPrince_VegetaTV,65910,3626,53539.0,,52.0,,,,,
268,ProbGarrett,65800,3294,72352.0,,,,12818773.0,,4887.0,
269,iNickflix,65566,4950,105994.0,26.0,280.0,16727.0,21774286.0,95420.0,,
270,Crutch xv,65508,2043,,66.0,,,,,,
271,T7orture,65435,1163,,,,,,38884.0,,
272,rezed by lex,65176,1254,,,,,,,,
273,buu2g,65147,2850,,,,,,,,
274,KingxRizzo,65144,1100,,,,,,,,
275,Kine on Twitch,65125,5168,131956.0,,,,26604760.0,,,
276,Versos,65015,2887,48803.0,,,,,,,
277,FIIINGERZ,64955,2349,,,420.0,2584.0,11652933.0,,,1501.0
278,Feather1042,64923,1377,,,,,,31726.0,,
279,Rondezzz,64794,1961,,,,,,,,
280,Aleyiaa,64583,599,,16.0,,,,,,
281,AimAssistMunchkn,64561,1239,,40.0,,,,,,
282,Grind Gaming FB,64359,4963,103390.0,,75.0,16563.0,27710336.0,142486.0,26076.0,
283,AllHail Numo,64120,2370,41224.0,,,,12185123.0,,,
284,Lyviuh,64083,1470,,162.0,,,9307108.0,42592.0,,
285,ACE Bravo9776,64027,747,,1.0,,,,,,
286,bbrocks28,64014,971,,104.0,,,,,,
287,jackjackjac,63936,842,,,,3513.0,,,,
288,acesifu,63921,1765,,,,,,,,
289,Warookc,63919,1674,,,,,,,,
290,III Pegasus,63597,1510,,,,,,,,
291,xJahmalg,63515,863,,,,,,,12509.0,1777.0
292,dooplex,63488,1783,,,81.0,,,32530.0,,
293,Tuhdeski,63386,1180,,,,,,,,
294,Krogre,63233,2206,,5.0,,,10761883.0,,,
295,tStaticc,63199,729,,18.0,,,,,,
296,Jashido,63071,774,,,,,,,,
297,Crumbean,62815,1511,,,,,,33425.0,,
298,HeavenTearsZ706,62743,1060,,,,,,,,
299,DaddyDucky08,62695,736,,,,,,,,
300,itz cancy,62598,1016,,,,5410.0,,,,
301,DarkIightt,62363,1646,,,,,,32113.0,,
302,Perfections,62292,936,,,,,,,,
303,addy 30xr,62245,1262,,,70.0,,,,,
304,ioJinx,62162,1843,54794.0,,69.0,9354.0,15537645.0,81531.0,,
305,Kaname 9,62096,1055,,13.0,,,,,,1280.0
306,Flicks IlI,62067,1857,,70.0,,,,,,
307,fpsvein,62061,1626,,,,,,53080.0,,
308,Ohneol,61976,2341,,,,,,,,
309,u noob,61947,1761,41228.0,,,,,,,
310,iTsCrazy_1,61894,1087,,,,,,,,
311,TTVxRickochet,61806,1092,,,,,9442527.0,,,
312,Goddesh,61800,1343,,,,,,,,
313,xiiTzTrippy,61786,1477,,,,,11862140.0,44428.0,,
314,vsPlutoo,61776,906,,,,,,,,
315,Peso4747,61764,998,,23.0,,,,,,
316,L2 Phantom,61621,950,,,,,,,,
317,rbluuuu,61535,1076,,,,,,,,
318,Righsim [Live],61517,796,,,,,,,,
319,38 Baby,61468,1255,,,,,,,,
320,Metaio,61367,835,,,,,,,,
321,VENGER_YT,61175,918,,,,,,,,1063.0
322,nV_LandoBandZ,61123,2387,82270.0,,,21916.0,15908305.0,122765.0,13086.0,
323,OMG Itz Ozi,61028,1383,,,,,10161077.0,,,
324,The Cheesy Toot,61009,911,,,,,,,,
325,FB MEEKS,60912,1973,43557.0,,,,12001464.0,,,
326,Spowoy,60877,1382,,27.0,,,,,,
327,SealedFL,60761,1832,,,,,,,,
328,MsLailac,60751,1821,,,,,,,,
329,SlimShiestee,60724,2317,,,,,,52547.0,,
330,AyTeeZ,60549,206,,,,,,,,
331,TSM Verhulst,60473,1042,65455.0,,220.0,,,,4529.0,
332,OPeezy,60464,1897,,1.0,,,,,9981.0,
333,Vepoa,60460,977,,,,,,,,
334,Frasier18,60414,904,,,,,,,,
335,T1_AirZ,60307,1036,,,,,,,,
336,COL_Monsoon,60151,904,53347.0,,,,,53036.0,,
337,tayzq,60065,1088,,,,,,,,
338,ooAxe,60017,987,,58.0,,,,,,
339,Livin_Raw,59721,2469,45721.0,,743.0,6161.0,9307096.0,70224.0,,1066.0
340,YT-LILSPYTAIN,59662,1536,,,,,,,5951.0,846.0
341,Swinging Me,59630,1248,,,,,,,,
342,HuLewTV,59592,838,,,,,,,,
343,jedimonkey2,59573,2109,,,,,,59836.0,,
344,TTVH0LLYW00D,59217,2602,,,,,10081464.0,,,
345,x dLini,59188,1738,56594.0,,,,,,,
346,scrap100k,59100,298,,,,,,,,
347,DlpIex,58882,4003,61830.0,,,,13450553.0,,6934.0,
348,I Wrap It Up,58868,1022,,,,,,,,
349,TSM Excentis,58709,1483,43183.0,,,,9300001.0,38890.0,,
350,Xx Newport,58529,1759,,,,,,,,
351,ItsRothboxTTV,58522,1547,,,,,,,,
352,Imbezl,58505,3217,56933.0,19.0,,4813.0,,48477.0,7123.0,1737.0
353,dihsc,58219,1366,,,,5486.0,,,,
354,MadLezbian,58213,1225,,58.0,,,,,,
355,lmprial,58017,1601,,,,,,,,850.0
356,KyWuSaki,57967,1109,,,,,,,,
357,iScamGoofys,57436,939,,9.0,,,,,,
358,Moizt Armpit,57268,1434,,9.0,,,15154846.0,,,
359,ColdCannedBeans,57124,1096,48744.0,4.0,,,12664580.0,,,
359,ZARKAI,57124,1169,,,,,,,,
361,SatFelli,56951,933,,,,,,,,
362,iitsZayyTV,56749,1481,,,,,11878659.0,,,
363,Jangzlp-,56708,799,,46.0,,,,,,
364,Zerfux,56658,1021,,,,,,,,
365,Kixcey,56437,2301,81804.0,,1071.0,4120.0,18337172.0,116701.0,,2748.0
366,BIG X X AIR,56434,1240,,,,,,,,
367,H311MasonZ89,56319,936,,,,,,,,
368,father frag,56285,1151,50638.0,,,,13318954.0,,,
369,WraithyToxic,56126,1135,,,,,,,,920.0
370,DregoPK,56118,3724,62087.0,,,4526.0,19612820.0,,,1434.0
371,itsScyther_,56104,870,,50.0,,,,,4636.0,
372,doxxx ttv,56008,940,,,,,,35338.0,7716.0,909.0
373,Cllassify,55767,788,,,,,,,,
374,NxGMrPeliGod,55748,2334,65221.0,,,,10741922.0,32841.0,,
375,TheBlackUchihaTv,55715,1121,,,,,,,,
376,Luxury Yamii,55648,1075,,,,,,,,
377,BlG g0at,55191,1922,,,,,,,,
378,Frontvl,55189,1193,,,,,,,,
379,VoidedSandyTV,55019,3372,62706.0,,,,16406762.0,74232.0,,
380,danoskrrrt,55009,2240,,,,,,,,
381,callmepacaz,54949,948,,,,,,,,
382,Lil Drywall,54917,2730,56473.0,19.0,,,16165595.0,59903.0,8816.0,
383,Frost RaiNx,54730,978,,,,,,,,
384,Mjaybrod,54609,1922,45622.0,,,3590.0,12581598.0,72274.0,,
385,EternalO2O,54555,1680,111663.0,,,23277.0,,92704.0,16252.0,4992.0
386,E8 Chaotic,54535,1291,45046.0,,,,,,,
387,Ready Up Bliss,54347,773,,0.0,,,,,,
388,mAd_Alchem1st,54288,954,,14.0,,,,,,
389,rixse,54166,754,,,,,,,,
390,AlwysAalky,54011,1463,48576.0,53.0,,3644.0,12498300.0,62542.0,7843.0,
391,AP-Lxke,53937,952,,,,,,,,
392,Bxckets,53896,931,,,,,,,,
393,Fear Wattsan,53648,1162,,15.0,,,,35523.0,,
394,FURIA HisWattson,53639,1243,77634.0,,,,23740986.0,101072.0,,
395,Diluhted,53570,1696,,,,,9827169.0,,,
396,KingQxX,53472,2383,,,,,,,,
397,Yainu,53453,1036,,,,,,,,
398,rRyuzxkii,53375,1139,,,,,,,,
399,my gritz2,53198,916,,,,1985.0,,,,
400,ORP Blazez,53149,1444,,,,,,,,
401,Pro_legend956,53059,824,,,,,11071913.0,,,
402,Sips on lean,52689,806,,2.0,,,,,,
403,Indentor,52663,867,,,,,,,,
404,Alikxn,52637,1597,44907.0,,777.0,,11465148.0,31833.0,7615.0,
405,TTwizi,52323,540,,,,,,,,
406,Mr Kripto,52215,1952,,,,,,,,
407,JinxAlchemist,52133,1402,,12.0,,2527.0,,,,
408,Terrifjes,51907,2466,65205.0,93.0,626.0,15856.0,15202803.0,44581.0,5754.0,674.0
409,hipfired,51866,790,,,,,,,,
410,Poorboyaus,51739,1459,,,,,,40459.0,,
411,bunkwavi,51673,1444,,,,,,,,
412,SquilliamFancyP,51533,1189,,,,,,,,
413,wreqc,51523,1162,42309.0,,,6533.0,,,,
414,STN_Monchere,51511,1029,,,,,9524027.0,,,
415,xLimitlessHOF,51508,1144,,,,,,,,
416,oNevermor3,51494,1660,,,,,,,,
417,Toosh Tees Off,51436,3153,69336.0,,,4573.0,,,,
418,XL3GITR0CKST4RX,51248,2478,48613.0,,187.0,3214.0,11101703.0,,,
419,IAmBIackHammer,50976,1273,55847.0,,,,16967091.0,33878.0,,
420,Boogiewoogie402,50918,1628,,12.0,,,,,,
421,ImKingDemiTv,50849,1288,,,,,,,,
422,xVen_dettaxX,50807,934,,42.0,,,,,,
423,drac,50795,2321,,,,,,,,
424,Infehst,50647,2750,56930.0,,,,,,,
425,Fear The Smiles,50555,2287,,,,11925.0,,,,
426,MHG-spookie9100,50530,1786,,,,,,37840.0,,
427,Chzzse,50494,2161,,,,,,,6108.0,
428,Roniiiii CoD,50333,1013,,,,,,,,
429,Reeebus,50272,2677,,,,,,,,
430,100T Vaxlon,50053,1378,77631.0,,,,17898134.0,79990.0,,
431,GrabbaR400,50009,779,,,,,,,,
432,FuRy Void,49936,1238,,,,,,,,
433,ShowYourHistory,49911,2390,54375.0,57.0,,,13165081.0,,,
434,viz,49906,873,42999.0,,,3485.0,,33362.0,,
435,best gun 420,49880,1369,,,,,,,,
436,Why_Envyyy,49868,1410,,,,,,,,
437,Pushin Path,49605,1347,56857.0,,,,17013883.0,82478.0,,
438,Kuzrui,49597,656,,,,,,,,
439,l-BHDee-l,49581,915,,,,,,,,
440,BeachgoerE,49525,644,,,,,,,,
441,sSyxzz,49462,1615,,,,4440.0,,31696.0,,
442,TrevCooks,49459,1305,,,,,,55519.0,,
443,OpTic knoqd,49458,3234,66234.0,,,11393.0,11271180.0,,,
444,oSchlepp,49450,2568,50410.0,,,,10525653.0,50741.0,14303.0,3457.0
445,Cxnfutious,49432,1522,,,,,,,,
446,jeffyrollers tv,49260,1101,,127.0,106.0,,,,,
447,XxBiGgDeE03xX,49252,748,,,,,,,,
448,NoahCarroll,49248,1258,,17.0,,,,,,
449,6eso on Kick.com,49230,1006,,2.0,,,,,,
450,Jmadison16_TTV,49215,1844,42782.0,,,,13483047.0,31822.0,,
451,Ciilix,49197,2500,,,,,,34235.0,,
452,ColossusOfCloud,49165,1480,69900.0,,,,16712848.0,,,
453,Twitch ArmaMessy,49044,1296,,,,,,,,
454,chianna29,49035,1455,,,,,,40395.0,,1646.0
455,ig_lyr1c,49008,892,,,,3405.0,,,,
456,Werteb,48897,1454,,,,,,,,
457,Twis7y,48871,906,,,,,,,,
458,PlayrHaterz,48849,924,,,,,,,,
459,GE jefe,48813,2067,,,,,,,,
460,CoMpLeX_SoNgZ,48809,1908,,,,,9494856.0,,,
461,BamboozledYoMom,48705,907,,,,,,,,
462,Jaqket,48602,1234,,,62.0,,11688743.0,35942.0,,
463,pacolocoa12,48566,1222,,,,,,,,
464,zTrueOne,48547,2023,,,,,11471536.0,,14649.0,2524.0
465,Skittlecakes,48458,2092,42170.0,,,,,,,
465,Bravo Ghost3043,48458,2178,,12.0,,,,,,
467,Im Impressy,48146,1050,,,,,,,,
468,officialcomplex,48051,818,,,,,,,,
469,XSET Ncturnal,47962,967,,,,,,,,
